8233,733,80,-4549,89,-4,179
8243,709,105,-4554,96,2,135
8254,730,135,-4559,98,1,94
8264,715,109,-4567,104,1,51
8274,701,132,-4540,109,2,18
8284,699,132,-4556,111,4,-5
8294,659,154,-4551,115,6,-16
8303,664,157,-4580,119,13,-17
8313,677,147,-4606,121,26,-19
8323,668,160,-4604,125,40,-19
8333,673,154,-4590,118,53,-21
8344,691,153,-4605,98,62,-25
8354,656,122,-4573,64,61,-26
8364,673,149,-4554,44,59,-20
8374,678,170,-4543,42,49,-17
8383,691,147,-4500,38,36,-9
8393,682,152,-4507,47,27,-7
8403,682,143,-4556,71,20,-8
8413,660,170,-4579,95,28,-2
8424,664,179,-4599,105,32,16
8434,665,143,-4590,95,37,37
8444,680,171,-4571,62,39,53
8454,666,102,-4551,17,33,61
8462,693,91,-4541,-21,21,57
8473,685,98,-4559,-33,10,38
8483,681,74,-4529,-32,9,12
8493,676,144,-4581,-29,7,-6
8503,657,152,-4567,-21,14,-11
8514,652,167,-4546,-20,28,-3
8524,683,146,-4596,-15,37,15
8532,662,148,-4558,-9,45,28
8542,701,142,-4566,-17,50,36
8553,676,133,-4537,-25,48,37
8563,689,119,-4542,-22,45,31
8573,679,124,-4549,-22,40,24
8583,707,113,-4592,-33,37,16
8593,682,141,-4619,-50,33,12
8602,669,163,-4587,-98,24,15
8612,655,185,-4678,-170,1,31
8622,634,168,-4698,-253,-10,63
8632,554,211,-4673,-397,-35,145
8643,653,75,-4641,-566,-96,284
8653,721,1,-4628,-711,-164,462
8663,883,-291,-4500,-845,-221,665
8673,986,-414,-4399,-777,-188,803
8684,999,-374,-4318,-545,-115,820
8692,1006,-246,-4308,-315,-79,733
8702,983,-96,-4350,-127,-75,583
8712,921,157,-4419,27,-74,396
8723,881,366,-4457,127,-76,234
8733,796,567,-4505,166,-71,124
8743,693,614,-4477,164,-64,56
8753,526,567,-4537,167,-41,15
8763,271,489,-4553,171,-24,9
8774,44,496,-4577,164,-30,28
8782,-25,615,-4571,142,-61,20
8792,185,814,-4657,105,-93,-17
8802,520,526,-4667,27,-87,13
8813,536,415,-4682,32,-35,199
8823,583,281,-4634,9,-6,340
8833,599,211,-4595,45,40,396
8843,681,127,-4616,45,63,399
8854,747,59,-4580,44,73,356
8862,740,41,-4550,28,71,264
8872,762,23,-4493,-23,34,171
8882,784,37,-4499,-12,5,53
8893,731,83,-4447,26,-17,-69
8903,690,104,-4459,48,-50,-152
8913,664,127,-4505,82,-72,-208
8923,623,158,-4514,121,-86,-239
8933,620,229,-4607,145,-90,-242
8942,573,256,-4646,139,-84,-225
8952,528,317,-4705,90,-82,-177
8962,555,307,-4708,-32,-93,-97
8972,577,285,-4662,-156,-104,-12
8983,559,244,-4664,-253,-107,55
8993,597,220,-4606,-308,-95,91
9003,615,186,-4554,-329,-81,105
9013,618,154,-4540,-326,-68,105
9022,603,217,-4516,-299,-50,93
9032,612,212,-4533,-270,-36,85
9042,607,246,-4580,-258,-35,101
9052,560,276,-4620,-294,-56,151
9062,622,278,-4611,-393,-103,229
9073,771,180,-4566,-514,-156,305
9083,868,120,-4494,-536,-152,376
9093,922,133,-4473,-471,-102,425
9101,814,61,-4444,-387,-55,444
9112,712,25,-4397,-287,-26,454
9122,608,-2,-4408,-158,-16,440
9132,522,58,-4418,-12,-12,390
9142,464,219,-4609,115,-11,307
9153,468,422,-4767,115,-30,189
9161,555,497,-4899,-8,-40,94
9171,695,522,-4925,-190,-10,56
9181,909,499,-4996,-404,61,79
9192,1156,532,-4922,-567,173,140
9202,1266,441,-4919,-670,294,192
9212,1169,244,-4998,-526,339,188
9222,1229,613,-4741,-169,280,121
9232,1254,599,-4447,-148,301,131
9243,1132,415,-4373,-210,445,210
9251,1017,272,-4309,-147,529,286
9261,1041,87,-4165,-45,534,350
9271,981,-55,-4058,121,590,439
9282,892,-128,-4100,275,637,570
9292,787,-199,-4125,370,618,704
9302,708,-196,-4205,462,561,784
9312,624,-223,-4256,509,455,812
9321,611,-241,-4229,543,334,804
9331,595,-186,-4275,586,264,774
9341,575,-200,-4339,600,227,753
9351,592,-199,-4436,625,213,729
9361,581,-148,-4512,674,191,676
9372,560,-87,-4597,704,166,600
9382,565,-39,-4707,708,126,510
9392,566,29,-4721,713,86,425
9402,592,87,-4711,712,63,356
9411,651,182,-4759,720,61,316
9421,641,307,-4734,716,70,285
9431,687,396,-4710,679,86,248
9441,731,468,-4653,629,106,196
9452,735,497,-4660,551,139,138
9462,-269,649,-4748,463,155,95
9472,-1686,747,-4966,185,-45,243
9482,-747,252,-4304,14,-452,546
9491,201,904,-4368,351,-305,617
9501,703,950,-4709,338,-152,375
9511,1243,800,-4486,124,-310,-67
9521,1640,598,-4224,-120,-354,-456
9531,1425,146,-4218,-384,-138,-600
9542,823,-21,-4370,-371,-1,-566
9552,319,-142,-4460,-275,-94,-456
9562,228,-113,-4390,-152,-230,-362
9570,156,-95,-4434,-117,-196,-272
9581,400,5,-4450,-10,-190,-225
9591,962,-20,-4364,29,-276,-219
9601,883,-147,-4203,22,-212,-221
9611,712,-83,-4132,71,-133,-221
9622,510,-344,-4410,33,-136,-184
9632,661,933,-4454,578,-730,-267
9642,750,-175,-5043,468,-942,-314
9650,817,635,-4817,578,-740,-408
9661,552,264,-4866,414,-610,-396
9671,416,330,-4714,395,-477,-304
9681,55,282,-4553,404,-405,-130
9691,-421,278,-4435,441,-447,145
9701,-620,193,-4477,309,-687,459
9712,1616,250,-4890,320,-745,650
9722,1142,75,-4847,368,-361,546
9730,683,-262,-4501,249,-165,376
9740,920,-189,-4451,80,-173,235
9751,901,43,-4612,-14,-220,111
9761,577,17,-4607,-2,-212,45
9771,476,-39,-4588,22,-193,33
9781,489,-5,-4601,32,-163,24
9792,482,-1,-4572,35,-154,18
9802,515,-13,-4613,61,-152,21
9810,507,-43,-4610,82,-140,18
9820,492,-8,-4603,82,-126,13
9830,511,-29,-4605,84,-114,14
9841,471,-23,-4572,87,-117,14
9851,487,-58,-4592,91,-112,21
9861,478,-67,-4610,81,-99,22
9871,453,-43,-4581,58,-78,25
9882,447,-44,-4611,32,-55,26
9890,451,-34,-4591,7,-40,24
9900,491,-40,-4573,-11,-28,21
9910,449,-28,-4569,-24,-21,23
9921,471,-49,-4583,-38,-18,20
9931,477,-30,-4589,-40,-20,17
9941,460,-16,-4597,-35,-15,16
9951,475,-4,-4596,-26,-4,21
9960,498,-12,-4591,-9,8,20
9970,471,-7,-4592,8,20,26
9980,472,-42,-4613,24,29,28
9990,472,-38,-4579,26,32,26
10000,478,-36,-4582,22,28,23
10011,453,-28,-4610,16,23,20
10021,469,-22,-4561,12,19,20
10031,474,-15,-4569,7,16,18
10039,456,-54,-4582,1,17,18
10050,464,-48,-4583,-8,17,17
10060,455,-31,-4599,-17,17,12
10070,459,-24,-4633,-23,17,13
10080,462,-46,-4571,-23,20,15
10091,473,-34,-4569,-28,19,14
10101,480,-40,-4597,-33,19,14
10111,476,-17,-4581,-36,16,12
10121,467,-25,-4555,-34,17,15
10129,480,-16,-4594,-30,19,12
10140,477,-24,-4597,-29,18,15
10150,468,-29,-4566,-30,22,15
10160,445,-10,-4606,-28,24,15
10170,476,-25,-4591,-27,21,14
10181,466,-4,-4562,-22,21,15
10191,447,-23,-4546,-14,18,14
10201,462,-22,-4554,-7,18,15
10209,472,-7,-4564,-5,18,14
10220,465,-19,-4541,2,18,17
10230,468,-26,-4593,2,21,16
10240,467,-16,-4563,-2,26,21
10250,464,-28,-4573,0,26,20
10261,481,-4,-4579,0,29,22
10271,448,-32,-4586,-3,30,22
10281,456,-22,-4569,-3,28,23
10289,456,-21,-4572,-8,31,23
10299,474,-29,-4593,-8,35,24
10310,467,-20,-4567,-10,37,27
10320,444,-13,-4580,-11,43,25
10330,488,-23,-4593,-15,40,27
10340,464,-26,-4569,-13,32,25
10351,442,-18,-4546,-11,30,22
10361,458,-25,-4554,-9,27,21
10369,460,-12,-4548,-10,29,20
10379,470,-23,-4574,-6,32,22
10390,454,-39,-4571,-8,36,22
10400,473,-34,-4567,-4,38,22
10410,459,-22,-4591,-2,44,25
10420,480,-19,-4579,3,51,28
10431,482,-8,-4593,14,55,30
10441,480,-46,-4556,15,54,30
10449,478,-30,-4546,-6,43,24
10459,457,-30,-4595,-10,38,22
10469,479,-21,-4566,-21,37,19
10480,462,-12,-4602,-28,39,17
10490,489,-14,-4548,-31,44,19
10500,446,-24,-4561,-26,51,21
10510,454,-35,-4542,-17,57,21
10521,444,-10,-4568,-10,66,25
10529,476,-20,-4573,3,86,32
10539,475,-21,-4571,14,95,37
10549,456,-8,-4547,9,97,36
10560,466,-23,-4578,-5,101,37
10570,477,-11,-4569,-23,96,37
10580,462,3,-4562,-18,112,36
10588,467,-13,-4612,-31,125,34
10598,469,-18,-4634,-33,139,35
10609,468,-20,-4647,-41,153,33
10619,480,-25,-4625,-57,168,34
10629,472,-2,-4662,-69,194,37
10639,472,-4,-4705,-79,236,47
10650,440,-32,-4708,-86,303,53
10660,394,38,-4819,-64,405,76
10670,556,294,-5204,-23,595,153
10678,516,-79,-5694,-9,1228,245
10689,550,-114,-5741,82,2146,172
10699,603,-46,-5790,187,2808,132
10709,740,-81,-5877,218,3426,105
10719,817,-50,-6030,144,4082,92
10730,776,-69,-6443,198,4775,58
10740,846,19,-6254,214,5503,10
10750,904,133,-6074,244,6331,36
10758,904,-110,-5833,436,7152,55
10768,598,-365,-5822,834,7455,34
10779,1617,95,-5164,1472,7369,-51
10789,1493,-530,-5313,1256,7155,-18
10799,1472,-739,-5404,1514,6860,-102
10809,1065,-1073,-4838,2032,6492,-299
10820,-421,-1824,-4577,2934,5870,-542
10830,-2134,-1004,-4214,4497,4698,-947
10840,-3405,752,-3057,5148,3309,-1188
10848,-4147,1424,-3303,4311,1922,-1037
10859,-4418,1395,-3325,2817,479,-936
